EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,YEAR,LOGWKS 
36,52,1,0,0,1,0,1,0,10,1,6.5624400,6,3.9512437 
37,46,1,0,0,1,0,1,0,10,1,6.6214100,7,3.8286414 
10,50,1,0,0,0,1,0,1,16,0,6.4377500,1,3.9120230 
11,46,1,0,0,0,1,0,1,16,0,6.6200700,2,3.8286414 
12,40,1,0,0,0,1,0,1,16,0,6.6333200,3,3.6888795 
13,50,0,0,0,0,1,0,0,16,0,6.9828600,4,3.9120230 
14,47,1,0,0,1,1,0,0,16,0,7.0475200,5,3.8501476 
15,47,0,0,0,0,1,0,0,16,0,7.3132200,6,3.8501476 
16,49,0,0,0,0,1,0,0,16,0,7.2957400,7,3.8918203 
26,44,1,1,0,1,1,0,0,12,0,6.9057500,1,3.7841896 
27,47,1,1,0,1,1,0,0,12,0,6.9057500,2,3.8501476 
28,47,1,1,0,1,1,0,0,12,0,6.9077600,3,3.8501476 
29,47,1,1,0,1,1,0,0,12,0,7.0030700,4,3.8501476 
30,44,1,1,0,1,1,0,0,12,0,7.0690200,5,3.7841896 
31,45,1,1,0,1,1,0,0,12,0,7.5202300,6,3.8066625 
32,47,1,1,0,1,1,0,0,12,0,7.3388900,7,3.8501476 
15,46,1,0,0,0,1,0,1,12,0,6.1334000,1,3.8286414 
16,48,1,0,0,0,1,0,1,12,0,6.1737900,2,3.8712010 
17,49,1,0,0,0,1,0,1,12,0,6.2126100,3,3.8918203 
18,46,1,0,0,0,1,0,1,12,0,6.3135500,4,3.8286414 
19,47,1,0,0,0,1,0,1,12,0,6.3750200,5,3.8501476 
20,47,1,0,0,0,1,0,1,12,0,6.4457200,6,3.8501476 
21,48,1,0,0,0,1,0,1,12,0,6.5220900,7,3.8712010 
23,51,1,1,1,0,1,0,1,10,0,6.3315000,1,3.9318256 
24,50,1,1,1,0,1,0,1,10,0,6.4035700,2,3.9120230 
25,50,1,1,1,0,1,0,1,10,0,6.5439100,3,3.9120230 
26,50,1,1,1,0,1,0,1,10,0,6.5624400,4,3.9120230 
27,44,1,1,0,1,1,0,1,10,0,6.5916700,5,3.7841896 
28,51,1,1,0,1,1,0,1,10,0,6.8178300,6,3.9318256 
29,51,1,1,0,1,1,0,1,10,0,6.8916300,7,3.9318256 
3,50,0,0,1,1,1,0,0,16,0,6.5510800,1,3.9120230 
4,48,0,0,1,1,1,0,0,16,0,6.5510800,2,3.8712010 
5,50,0,0,1,1,1,0,0,16,0,6.8023900,3,3.9120230 
6,48,0,0,1,1,1,0,0,16,0,6.9077600,4,3.8712010 
7,48,0,0,1,1,1,0,0,16,0,7.0900800,5,3.8712010 
8,44,0,0,1,1,1,0,0,16,0,7.1701200,6,3.7841896 
9,48,0,0,1,1,1,0,0,16,0,7.2078600,7,3.8712010 
3,49,0,0,1,1,1,0,0,16,0,6.3969300,1,3.8918203 
4,47,0,0,1,1,1,0,0,16,0,6.4377500,2,3.8501476 
5,46,0,0,1,1,1,0,0,16,0,6.4377500,3,3.8286414 
6,44,0,0,1,1,1,0,0,16,0,6.4377500,4,3.7841896 
7,43,0,0,1,1,1,0,0,16,0,6.5220900,5,3.7612001 
8,34,0,0,1,1,1,0,0,16,0,6.6133800,6,3.5263605 
9,40,0,0,1,1,1,0,0,16,0,6.7393400,7,3.6888795 
24,47,1,0,0,1,0,0,1,12,0,6.6580100,1,3.8501476 
25,48,1,0,0,1,0,0,1,12,0,6.7262300,2,3.8712010 
26,45,1,0,0,1,0,0,1,12,0,6.8023900,3,3.8066625 
27,45,1,0,0,1,1,0,1,12,0,6.9077600,4,3.8066625 
28,47,1,0,0,1,1,0,1,12,0,7.0396600,5,3.8501476 
29,17,1,0,0,1,1,0,1,12,0,7.1276900,6,2.8332133 
30,47,1,0,0,1,1,0,1,12,0,7.2442300,7,3.8501476 
21,47,1,0,1,1,1,0,1,12,0,6.5510800,1,3.8501476 
22,46,1,0,1,1,1,0,1,12,0,6.6293600,2,3.8286414 
23,47,1,0,1,1,1,0,1,12,0,6.7226300,3,3.8501476 
24,47,1,0,1,1,1,0,1,12,0,6.7334000,4,3.8501476 
25,47,1,0,1,1,1,0,1,12,0,6.7226300,5,3.8501476 
26,47,1,0,1,1,1,0,1,12,0,6.9517700,6,3.8501476 
27,46,1,0,1,1,1,0,1,12,0,7.0527200,7,3.8286414 
26,48,1,0,1,1,1,0,0,12,0,6.9057500,1,3.8712010 
27,48,1,0,1,1,1,0,0,12,0,6.9007300,2,3.8712010 
28,50,1,0,1,1,1,0,0,12,0,7.1701200,3,3.9120230 
29,48,1,0,1,1,1,0,0,12,0,7.2654300,4,3.8712010 
30,48,1,0,1,1,1,0,0,12,0,7.2591200,5,3.8712010 
31,46,0,0,1,1,1,0,0,12,0,7.2548800,6,3.8286414 
32,46,1,0,1,1,1,0,0,12,0,7.4000100,7,3.8286414 
15,45,0,0,1,1,1,0,0,17,0,6.8023900,1,3.8066625 
16,45,0,0,1,1,1,0,0,17,0,6.8023900,2,3.8066625 
17,45,0,0,1,1,1,0,0,17,0,6.9256000,3,3.8066625 
18,44,0,0,1,1,1,0,0,17,0,7.0030700,4,3.7841896 
19,44,0,0,1,1,1,0,0,17,0,7.1309000,5,3.7841896 
20,44,0,0,1,1,1,0,0,17,0,7.1244800,6,3.7841896 
21,44,0,0,1,1,1,0,0,17,0,7.1228700,7,3.7841896 
9,50,0,0,0,0,0,1,0,14,0,5.9401700,1,3.9120230 
10,46,0,0,0,0,0,1,0,14,0,5.8607900,2,3.8286414 
11,48,0,0,0,0,0,1,0,14,0,5.9989400,3,3.8712010 
12,46,0,0,0,0,0,1,0,14,0,6.0845000,4,3.8286414 
13,48,0,0,0,0,0,1,0,14,0,6.3952600,5,3.8712010 
14,41,0,0,0,0,0,1,0,14,0,6.4769700,6,3.7135721 
15,48,0,0,0,0,0,1,0,14,0,6.4769700,7,3.8712010 
16,50,1,0,1,1,0,1,0,12,1,5.9788900,1,3.9120230 
17,50,1,0,1,1,0,1,0,12,1,5.7838300,2,3.9120230 
18,48,1,0,1,1,0,1,0,12,1,5.8579300,3,3.8712010 
19,48,1,0,1,1,0,1,0,12,1,5.9532400,4,3.8712010 
20,50,1,0,1,1,0,1,0,12,1,6.1463300,5,3.9120230 
21,50,1,0,1,1,0,1,0,12,1,6.1758700,6,3.9120230 
22,49,1,0,1,1,0,1,0,12,1,6.3885600,7,3.8918203 
16,49,0,1,0,0,1,0,0,14,0,6.6200700,1,3.8918203 
17,48,0,1,0,0,1,0,0,14,0,6.4922400,2,3.8712010 
18,49,0,1,0,0,1,0,0,14,0,6.7799200,3,3.8918203 
19,50,0,1,0,0,1,0,0,14,0,6.7452400,4,3.9120230 
20,51,0,1,0,0,1,0,0,14,0,7.0900800,5,3.9318256 
21,46,0,1,0,0,1,0,0,14,0,7.1309000,6,3.8286414 
22,47,0,1,0,0,1,0,0,14,0,7.1309000,7,3.8501476 
25,47,0,1,1,1,1,0,0,16,0,6.9057500,1,3.8501476 
26,46,0,1,1,1,1,0,0,16,0,6.9057500,2,3.8286414 
27,47,0,1,1,1,1,0,0,16,0,7.6009000,3,3.8501476 
28,47,0,1,1,1,1,0,0,16,0,7.6496900,4,3.8501476 
29,47,0,1,1,1,1,0,0,16,0,7.7186900,5,3.8501476 
30,48,0,1,1,1,1,0,0,16,0,7.7832200,6,3.8712010 
31,47,0,1,1,1,1,0,0,16,0,7.8038400,7,3.8501476 
40,37,1,1,0,1,1,0,1,12,0,6.3868800,1,3.6109179 
41,49,1,1,0,1,1,0,1,12,0,6.4738900,2,3.8918203 
42,50,1,1,0,1,1,0,1,12,0,6.5424700,3,3.9120230 
43,47,1,1,0,1,1,0,1,12,0,6.6758200,4,3.8501476 
44,47,1,1,0,1,1,0,1,12,0,6.7417000,5,3.8501476 
45,25,1,1,0,1,1,0,1,12,0,6.8319500,6,3.2188758 
46,40,1,1,0,1,1,0,1,12,0,6.9363400,7,3.6888795 
25,50,0,0,0,0,1,0,0,16,0,6.7833300,1,3.9120230 
26,49,0,1,0,0,1,0,0,16,0,6.8575100,2,3.8918203 
27,49,0,1,0,0,1,0,0,16,0,6.9847200,3,3.8918203 
28,48,0,1,0,0,1,0,0,16,0,7.0579000,4,3.8712010 
29,48,0,1,0,0,1,0,0,16,0,7.2056400,5,3.8712010 
30,49,0,1,0,0,1,0,0,16,0,7.1098800,6,3.8918203 
31,48,0,1,0,0,1,0,0,16,0,7.2668300,7,3.8712010 
28,42,1,1,1,0,1,0,1,4,0,6.0591200,1,3.7376696 
29,46,1,1,1,0,1,0,1,4,0,6.0520900,2,3.8286414 
30,49,1,1,1,0,1,0,1,4,0,5.9914600,3,3.8918203 
31,49,1,1,1,0,1,0,1,4,0,6.2146100,4,3.8918203 
32,48,1,0,1,0,1,0,1,4,0,6.3243600,5,3.8712010 
33,45,1,0,1,0,1,0,1,4,0,6.4425400,6,3.8066625 
34,42,1,1,1,0,1,0,1,4,0,6.4425400,7,3.7376696 
20,46,0,0,0,0,1,0,0,14,0,6.5998700,1,3.8286414 
21,45,0,0,0,0,1,0,0,14,0,6.5998700,2,3.8066625 
22,44,0,0,0,0,1,0,0,14,0,6.6846100,3,3.7841896 
23,46,0,0,0,0,1,0,0,14,0,6.7274300,4,3.8286414 
24,47,0,0,0,0,1,0,0,14,0,6.8824400,5,3.8501476 
25,51,0,1,0,0,1,0,0,14,0,6.9565500,6,3.9318256 
26,47,0,0,0,0,1,0,0,14,0,7.0475200,7,3.8501476 
11,50,0,0,0,1,1,0,0,16,0,6.9057500,1,3.9120230 
12,50,0,0,0,1,1,0,0,16,0,6.9057500,2,3.9120230 
13,51,0,0,0,1,1,0,0,16,0,7.4955400,3,3.9318256 
14,50,0,0,0,1,1,0,0,16,0,7.6615300,4,3.9120230 
15,48,0,0,0,1,1,0,0,16,0,7.8632700,5,3.8712010 
16,47,0,0,0,1,1,0,0,16,0,8.0391600,6,3.8501476 
17,50,0,0,0,1,1,0,0,16,0,7.8935700,7,3.9120230 
5,30,0,0,0,0,0,1,0,12,0,5.4380800,1,3.4011974 
6,51,0,0,0,0,0,1,0,12,0,5.5214600,2,3.9318256 
7,51,1,0,0,0,0,1,0,12,0,5.5797300,3,3.9318256 
8,52,1,0,0,0,0,1,0,12,0,5.6698800,4,3.9512437 
9,49,1,0,0,0,0,1,0,12,0,5.7365700,5,3.8918203 
10,51,1,0,0,0,0,1,1,12,0,5.8435400,6,3.9318256 
11,50,1,0,0,0,0,1,0,12,0,5.8579300,7,3.9120230 
8,37,0,0,0,1,1,0,1,17,0,6.5294200,1,3.6109179 
9,39,0,0,0,1,1,0,1,17,0,6.5792500,2,3.6635616 
10,40,0,0,0,1,1,0,1,17,0,6.7153800,3,3.6888795 
11,38,0,0,0,1,1,0,1,17,0,6.6846100,4,3.6375862 
12,38,0,0,0,1,1,0,1,17,0,6.7912200,5,3.6375862 
13,39,0,0,0,1,1,0,1,17,0,6.9754100,6,3.6635616 
14,41,0,0,0,1,1,0,1,17,0,6.9077600,7,3.7135721 
14,48,0,1,1,1,1,0,0,15,0,6.4769700,1,3.8712010 
15,47,1,1,1,1,1,0,0,15,0,6.5510800,2,3.8501476 
16,49,0,1,1,1,1,0,0,15,0,6.8669300,3,3.8918203 
17,48,0,1,1,1,1,0,0,15,0,6.8564600,4,3.8712010 
18,47,0,1,1,1,1,0,0,15,0,7.2793200,5,3.8501476 
19,47,0,1,1,1,1,0,0,15,0,7.5496100,6,3.8501476 
20,48,0,1,1,1,1,0,0,15,0,7.3670800,7,3.8712010 
8,50,0,0,0,1,0,0,0,16,0,6.0161600,1,3.9120230 
9,52,0,0,0,1,0,0,0,16,0,6.9057500,2,3.9512437 
10,48,0,0,0,0,0,0,0,16,0,7.0475200,3,3.8712010 
11,50,0,0,0,0,0,0,0,16,0,7.2619300,4,3.9120230 
12,50,0,0,0,0,0,0,0,16,0,7.0900800,5,3.9120230 
13,45,0,0,0,0,0,0,0,16,0,6.9631900,6,3.8066625 
14,23,0,0,0,0,0,0,0,16,0,7.3132200,7,3.1354942 
26,50,1,0,0,1,1,0,0,12,0,6.7334000,1,3.9120230 
27,50,1,0,0,1,1,0,0,12,0,6.6970300,2,3.9120230 
28,50,1,0,0,1,1,0,0,12,0,6.6846100,3,3.9120230 
29,50,1,0,0,1,1,0,0,12,0,6.7452400,4,3.9120230 
30,50,1,0,0,1,1,0,0,12,0,6.7310200,5,3.9120230 
31,49,1,0,0,1,1,0,0,12,0,6.8023900,6,3.8918203 
32,49,1,0,0,1,1,0,0,12,0,6.7452400,7,3.8918203 
31,49,0,0,0,1,1,0,0,14,0,6.9057500,1,3.8918203 
32,49,0,0,0,1,1,0,0,14,0,6.9057500,2,3.8918203 
33,49,0,0,0,1,1,0,0,14,0,7.0621900,3,3.8918203 
34,49,0,0,0,1,1,0,0,14,0,7.5755800,4,3.8918203 
35,50,0,0,0,1,1,0,0,14,0,7.6732200,5,3.9120230 
36,49,0,0,0,1,1,0,0,14,0,7.4730700,6,3.8918203 
37,49,0,0,0,1,1,0,0,14,0,7.5600800,7,3.8918203 
17,47,0,0,1,1,0,1,0,12,0,6.1964400,1,3.8501476 
18,47,0,0,1,1,0,1,0,12,0,6.2989500,2,3.8501476 
19,48,0,0,1,1,0,1,0,12,0,6.3315000,3,3.8712010 
20,49,0,0,1,1,0,1,0,12,0,6.3630300,4,3.8918203 
21,49,0,0,1,1,0,1,0,12,0,6.4815800,5,3.8918203 
22,45,0,0,1,1,0,1,0,12,0,6.5778600,6,3.8066625 
23,49,0,0,1,1,0,1,0,12,0,6.6437900,7,3.8918203 
22,48,0,1,0,1,1,0,0,17,0,6.9057500,1,3.8712010 
23,48,0,1,0,1,1,0,0,17,0,6.9057500,2,3.8712010 
24,48,0,1,0,1,1,0,0,17,0,7.3132200,3,3.8712010 
25,47,0,1,0,1,1,0,0,17,0,7.2442300,4,3.8501476 
26,43,0,1,0,1,1,0,0,17,0,7.4843700,5,3.7612001 
27,47,0,0,0,1,1,0,0,17,0,7.5496100,6,3.8501476 
28,45,0,1,0,1,1,0,0,17,0,7.6133200,7,3.8066625 
30,50,0,1,0,1,1,0,0,16,0,6.9057500,1,3.9120230 
31,49,0,1,0,1,1,0,0,16,0,6.9057500,2,3.8918203 
32,49,0,1,0,1,1,0,0,16,0,7.4673700,3,3.8918203 
33,48,0,1,0,1,1,0,0,16,0,7.4085300,4,3.8712010 
34,49,0,1,0,1,1,0,0,16,0,7.6058900,5,3.8918203 
35,47,0,1,0,1,1,0,0,16,0,8.0487900,6,3.8501476 
36,47,0,1,0,1,1,0,0,16,0,7.7406600,7,3.8501476 
14,51,0,0,0,1,1,0,0,16,0,6.9057500,1,3.9318256 
15,47,0,0,0,1,1,0,0,16,0,6.9057500,2,3.8501476 
16,51,0,0,0,1,1,0,0,16,0,7.1701200,3,3.9318256 
17,47,0,0,0,1,1,0,0,16,0,7.2793200,4,3.8501476 
18,48,0,0,0,1,1,0,0,16,0,7.2406500,5,3.8712010 
19,50,0,0,0,1,1,0,0,16,0,7.3777600,6,3.9120230 
20,49,0,0,0,1,1,0,0,16,0,7.4673700,7,3.8918203 
45,48,1,0,1,0,1,0,0,8,0,5.7589000,1,3.8712010 
46,48,1,0,1,0,1,0,0,8,0,5.8607900,2,3.8712010 
47,48,1,0,1,0,1,0,0,8,0,5.8230500,3,3.8712010 
48,49,1,0,1,0,1,0,0,8,0,5.9480300,4,3.8918203 
49,50,1,0,1,0,1,0,0,8,0,6.2480400,5,3.9120230 
50,48,1,0,1,0,1,0,0,8,0,6.2065800,6,3.8712010 
51,46,1,0,1,0,1,0,0,8,0,5.9839400,7,3.8286414 
8,30,1,0,0,1,1,0,1,13,1,6.5147100,1,3.4011974 
9,49,1,1,0,1,1,0,1,13,1,6.6107000,2,3.8918203 
10,48,1,1,0,1,1,0,1,13,1,6.3969300,3,3.8712010 
11,49,1,1,0,1,1,0,1,13,1,6.7522700,4,3.8918203 
12,34,1,1,0,1,1,0,1,13,1,6.8865300,5,3.5263605 
13,48,1,1,0,1,1,0,1,13,1,7.0121200,6,3.8712010 
14,45,1,1,0,1,1,0,1,13,1,7.0255400,7,3.8066625 
15,52,1,0,1,1,1,0,0,10,0,6.6200700,1,3.9512437 
16,47,0,0,1,1,1,0,0,10,0,6.7742200,2,3.8501476 
17,50,0,0,1,0,1,0,0,10,0,7.1309000,3,3.9120230 
18,50,0,0,1,0,1,0,0,10,0,7.0884100,4,3.9120230 
19,48,0,0,1,1,1,0,0,10,0,7.1309000,5,3.8712010 
20,50,0,0,1,1,1,0,0,10,0,6.9077600,6,3.9120230 
21,41,0,0,1,1,1,0,0,10,0,7.1800700,7,3.7135721 
12,52,0,0,0,1,1,0,0,14,0,6.9057500,1,3.9512437 
13,47,0,0,0,1,1,0,0,14,0,6.7417000,2,3.8501476 
14,50,0,0,0,1,1,0,0,14,0,7.0030700,3,3.9120230 
15,49,0,0,0,1,1,0,0,14,0,7.1309000,4,3.8918203 
16,50,0,0,0,1,1,0,0,14,0,7.1428300,5,3.9120230 
17,48,0,0,0,1,1,0,0,14,0,7.2827600,6,3.8712010 
18,49,0,0,0,1,0,0,0,14,0,7.4091400,7,3.8918203 
10,48,1,1,0,0,1,0,1,12,0,6.0520900,1,3.8712010 
11,49,1,1,0,0,1,0,1,12,0,6.0520900,2,3.8918203 
12,48,1,1,0,0,1,0,1,12,0,6.0520900,3,3.8712010 
13,48,1,1,0,0,1,0,1,12,0,6.3681900,4,3.8712010 
14,49,1,1,0,0,1,0,1,12,0,6.4361500,5,3.8918203 
15,48,0,1,0,0,1,0,1,12,0,6.5496500,6,3.8712010 
16,49,1,1,0,0,1,0,1,12,0,6.5220900,7,3.8918203 
6,47,0,0,0,1,1,0,0,13,0,6.4769700,1,3.8501476 
7,51,0,0,0,1,0,0,0,13,0,6.5861700,2,3.9318256 
8,48,0,0,0,1,0,0,0,13,0,6.4769700,3,3.8712010 
9,50,0,0,0,1,0,0,0,13,0,6.5294200,4,3.9120230 
10,50,0,0,0,1,0,0,0,13,0,6.8023900,5,3.9120230 
11,52,0,0,0,1,0,0,0,13,0,6.7799200,6,3.9512437 
12,51,0,0,0,1,1,0,0,13,0,6.8079300,7,3.9318256 
30,47,0,0,1,0,1,0,1,8,0,6.3578400,1,3.8501476 
31,39,0,0,1,0,1,0,1,8,0,6.4997900,2,3.6635616 
32,32,0,0,1,0,1,0,1,8,0,6.5820300,3,3.4657359 
33,35,0,0,1,0,1,0,1,8,0,6.6945600,4,3.5553481 
34,47,0,0,1,0,1,0,1,8,0,6.7878400,5,3.8501476 
35,45,0,0,1,0,1,0,1,8,0,6.9077600,6,3.8066625 
36,47,0,0,1,0,1,0,1,8,0,7.3581900,7,3.8501476 
20,50,0,0,1,1,1,0,0,16,0,6.9057500,1,3.9120230 
21,50,0,0,1,1,1,0,0,16,0,6.9057500,2,3.9120230 
22,50,0,0,1,1,1,0,0,16,0,7.3777600,3,3.9120230 
23,50,0,0,1,1,1,0,0,16,0,7.4910900,4,3.9120230 
24,50,0,0,1,1,1,0,0,16,0,7.5755800,5,3.9120230 
25,48,0,0,1,1,1,0,0,16,0,7.5283300,6,3.8712010 
26,47,0,0,1,1,1,0,0,16,0,7.7450000,7,3.8501476 
30,38,1,1,0,1,0,1,1,12,1,6.2186000,1,3.6375862 
31,41,1,0,0,1,0,1,1,12,1,6.4937500,2,3.7135721 
32,51,1,0,0,1,0,1,1,12,1,6.5806400,3,3.9318256 
33,50,1,1,0,1,0,1,1,12,1,6.6896000,4,3.9120230 
34,42,1,1,0,1,0,1,1,12,1,6.7934700,5,3.7376696 
35,50,1,1,0,1,0,1,1,12,1,6.9246100,6,3.9120230 
36,49,1,1,0,1,0,1,1,12,1,7.0255400,7,3.8918203 
5,49,0,0,0,1,1,0,0,16,0,6.6846100,1,3.8918203 
6,47,0,0,0,1,1,0,0,16,0,6.8437500,2,3.8501476 
7,48,0,0,0,1,1,0,0,16,0,6.9077600,3,3.8712010 
8,49,0,0,0,1,1,0,0,16,0,7.0030700,4,3.8918203 
9,46,0,0,0,1,1,0,0,16,0,7.1309000,5,3.8286414 
10,45,0,0,0,1,1,0,0,16,0,7.4085300,6,3.8066625 
11,49,0,0,0,1,1,0,0,16,0,7.4383800,7,3.8918203 
7,48,0,1,0,1,1,0,0,17,0,6.9057500,1,3.8712010 
8,48,0,1,0,1,1,0,0,17,0,6.9057500,2,3.8712010 
9,48,0,1,0,1,1,0,0,17,0,7.2078600,3,3.8712010 
10,47,0,1,0,1,1,0,0,17,0,7.3132200,4,3.8501476 
11,46,0,1,0,1,1,0,0,17,0,7.4383800,5,3.8286414 
12,46,0,1,0,1,1,0,0,17,0,7.4933200,6,3.8286414 
13,46,0,1,0,1,1,0,0,17,0,7.6009000,7,3.8286414 
13,49,0,0,0,1,0,1,0,13,0,6.2245600,1,3.8918203 
14,50,0,0,0,1,0,1,0,13,0,6.3332800,2,3.9120230 
15,50,0,0,0,1,0,1,0,13,0,6.3099200,3,3.9120230 
16,50,0,0,0,1,0,1,0,13,0,6.4769700,4,3.9120230 
17,50,0,0,0,1,0,1,0,13,0,6.6333200,5,3.9120230 
18,50,0,0,0,1,0,1,0,13,0,6.6821100,6,3.9120230 
19,49,0,0,0,1,0,1,0,13,0,6.6528600,7,3.8918203 
6,42,1,0,0,0,1,0,1,12,0,6.1268700,1,3.7376696 
7,44,1,0,0,0,1,0,1,12,0,6.2324500,2,3.7841896 
8,48,1,0,0,0,1,0,1,12,0,6.3261500,3,3.8712010 
9,47,1,0,0,0,1,0,1,12,0,6.3243600,4,3.8501476 
10,48,1,0,0,0,1,0,1,12,0,6.4677000,5,3.8712010 
11,47,0,0,0,0,1,0,1,12,0,6.6066500,6,3.8501476 
12,47,1,0,0,0,1,0,1,12,0,6.5510800,7,3.8501476 
26,48,0,0,0,1,1,0,0,14,0,6.9057500,1,3.8712010 
27,49,0,0,0,1,1,0,0,14,0,6.9057500,2,3.8918203 
28,48,0,0,0,1,1,0,0,14,0,7.0475200,3,3.8712010 
29,48,0,0,0,1,1,0,0,14,0,7.0900800,4,3.8712010 
30,48,0,0,0,1,1,0,0,14,0,7.2078600,5,3.8712010 
31,47,0,0,0,1,1,0,0,14,0,7.1180200,6,3.8501476 
32,48,0,0,0,1,1,0,0,14,0,7.0900800,7,3.8712010 
26,50,0,1,0,1,0,0,0,16,0,6.9057500,1,3.9120230 
27,50,0,1,0,1,0,0,0,16,0,6.9057500,2,3.9120230 
28,50,0,1,0,1,0,0,0,16,0,7.1309000,3,3.9120230 
29,50,0,1,0,1,0,0,0,16,0,7.2262100,4,3.9120230 
30,48,0,1,0,1,1,0,0,16,0,7.1309000,5,3.8712010 
31,41,0,1,0,1,1,0,0,16,0,7.3132200,6,3.7135721 
32,49,0,1,0,1,0,0,0,16,0,7.4383800,7,3.8918203 
31,47,0,1,0,0,1,0,0,16,0,6.9057500,1,3.8501476 
32,46,0,1,0,0,1,0,0,16,0,6.9057500,2,3.8286414 
33,47,0,1,0,0,1,0,0,16,0,7.6009000,3,3.8501476 
34,48,0,1,0,0,1,0,0,16,0,7.6760100,4,3.8712010 
35,47,0,1,0,0,1,0,0,16,0,7.7021000,5,3.8501476 
36,49,0,1,0,0,1,0,0,16,0,7.6962100,6,3.8918203 
37,48,0,1,0,0,1,0,0,16,0,7.8208400,7,3.8712010 
31,50,0,0,0,1,0,1,1,12,0,6.2709900,1,3.9120230 
32,45,0,0,0,1,0,1,1,12,0,6.3985900,2,3.8066625 
33,43,0,0,0,1,0,1,1,12,0,6.4831100,3,3.7612001 
34,48,0,0,0,1,0,1,1,12,0,6.5567800,4,3.8712010 
35,46,0,0,0,1,0,1,1,12,0,6.6554400,5,3.8286414 
36,32,0,0,0,1,0,1,1,12,0,6.7487600,6,3.4657359 
37,28,0,0,0,1,0,1,1,12,0,6.8490700,7,3.3322045 
31,45,0,1,0,1,1,0,0,17,0,6.9057500,1,3.8066625 
32,48,0,1,0,1,1,0,0,17,0,6.9057500,2,3.8712010 
33,48,0,1,0,1,1,0,0,17,0,7.6009000,3,3.8712010 
34,47,0,0,0,1,1,0,0,17,0,7.6496900,4,3.8501476 
35,48,0,1,0,1,1,0,0,17,0,7.8240500,5,3.8712010 
36,47,0,1,0,1,1,0,0,17,0,7.8632700,6,3.8501476 
37,44,0,1,0,1,1,0,0,17,0,7.9193600,7,3.7841896 
25,46,0,0,0,1,1,0,0,16,0,6.9057500,1,3.8286414 
26,49,0,0,0,1,1,0,0,16,0,6.9057500,2,3.8918203 
27,49,0,0,0,1,1,0,0,16,0,7.2442300,3,3.8918203 
28,48,0,0,0,1,1,0,0,16,0,7.1309000,4,3.8712010 
29,48,0,0,0,1,1,0,0,16,0,7.4673700,5,3.8712010 
30,48,0,0,0,1,1,0,0,16,0,7.6009000,6,3.8712010 
31,49,0,0,0,1,1,0,1,16,0,7.6496900,7,3.8918203 
13,47,0,0,1,0,1,0,0,13,0,6.4361500,1,3.8501476 
14,49,0,0,1,0,1,0,0,13,0,6.9057500,2,3.8918203 
15,48,1,0,0,0,1,0,0,13,0,6.9565500,3,3.8712010 
16,49,1,0,0,0,1,0,0,13,0,6.9565500,4,3.8918203 
17,48,0,0,0,0,1,0,0,13,0,7.0604800,5,3.8712010 
18,47,1,0,0,0,1,0,0,13,0,7.2078600,6,3.8501476 
19,48,0,0,0,0,1,0,0,13,0,7.2078600,7,3.8712010 
13,47,1,1,0,0,1,0,1,11,0,6.5117500,1,3.8501476 
14,52,1,1,0,0,1,0,1,11,0,6.5903000,2,3.9512437 
15,51,1,1,0,0,1,0,1,11,0,6.6846100,3,3.9318256 
