"id","treat.invite","pct.missing","head.edu","mosques","pct.poor","total.budget"
54,1,-0.031128254,9,1.117568135,0.4884547,45.26930618
55,0,0.599463224,16,2.320185661,0.37664783,65.37400055
56,0,0.437274247,9,2.320185661,0.659574449,143.1490021
57,1,0.235124946,12,1.726263881,0.099480972,125.9940033
58,1,0.395896494,9,1.117318392,0.284210533,73.1989975
59,0,-0.023706524,12,1.580849171,0.400175124,63.2424469
60,1,0.194622591,9,1.162790656,0.714285731,68.54820251
61,0,0.229866415,12,1.801801801,0.724867702,55.28240204
62,1,0.292702466,9,1.598538518,0.527619064,66.19695282
63,1,0.031847931,12,1.368523955,0.114416473,63.62530136
64,1,-0.22309427,6,1.721170425,0.52930057,98.68191528
65,1,0.371154904,12,1.215312958,0.413723499,77.83501434
66,0,0.523804545,12,2.331002235,0.400530517,165.3672333
67,0,-0.041302845,12,2.593360901,0.475113124,150.3041992
68,1,-0.13761574,14,1.100110054,0.250819683,42.98099899
69,1,0.180208981,6,1.293661118,0.167597771,52.74850082
70,0,0.831561744,9,1.348920822,0.062761508,51.11600113
71,0,0.019599576,9,2.087682724,0.246376812,219.9182587
72,1,0.333958298,14,2.250984907,0.273972601,55.56914902
73,0,0.084665269,12,2.610965967,0.283333331,124.2557449
74,1,0.186990485,9,2.059308052,0.244660199,82.94139862
75,1,-1.10281837,12,1.830663562,0.571428597,76.86000061
76,1,-0.26038751,12,1.639344215,0.600000024,71.24549866
77,1,-0.10617844,14,1.989554882,0.431034476,36.29999924
78,1,0.024676699,6,2.806361198,0.508196712,36.52199936
79,0,-0.339664042,9,1.751313448,0.601449251,24.48049927
80,1,-0.312361747,9,3.882809639,0.538922131,47.78775024
81,1,-0.117419645,6,2.949852467,0.316455692,91.27674866
82,1,-0.076858446,12,2.981514692,0.164512336,57.23675156
83,0,0.024873229,12,1.918281198,0.25,44.19449997
84,1,-0.301069468,12,2.400548697,0.277777791,50.77249908
85,0,-0.071683824,16,1.168907046,0.195524141,19.06500053
86,1,-0.086040124,12,1.962708592,0.686468661,46.8219986
87,0,-0.563449502,9,1.424501419,0.411392391,91.83650208
88,1,-0.290196449,14,1.891891837,0.297029704,104.7945023
89,1,0.090279251,9,1.469507694,0.200617284,37.12599945
90,1,-0.122956052,6,2.424830198,0.913135588,80.72149658
91,1,-0.004485906,9,2.883229256,0.137135923,80.02028656
92,0,0.192428589,9,1.421464086,0.386617094,108.4872131
93,1,-0.860899687,12,2.134797096,0.380614668,52.02199936
94,1,-0.486682773,9,1.083423615,0.332413793,56.73400116
95,1,0.522831023,9,1.397205591,0.210200921,37.65459824
96,0,0.215949416,12,1.584786057,0.097402595,30.00629997
97,1,-0.121830747,9,2.765705347,0.279720277,37.96820068
98,0,0.330708891,9,2.958579779,0.616883099,26.18540001
99,1,0.098001465,12,1.194267511,0.183823526,35.39199829
100,0,-0.015865633,12,2.608695745,0.200000003,54.10299683
101,1,-0.981541693,9,1.25509882,0.300254464,51.73345184
102,1,0.102112085,6,1.030715346,0.333333343,51.97199631
103,1,1.301454663,6,2.565418243,0.565591395,51.14210129
104,0,0.187719867,12,0.434121996,0.395563781,44.07979965
105,1,0.592115164,6,1.54178226,0.298953652,138.3670044
106,0,1.083089709,6,1.131861925,0.350125939,132.6920013
107,1,0.293153077,16,1.359850407,0.263636351,57.76514816
108,1,-0.319424331,12,1.515151501,0.321428567,73.31099701
109,1,0.509477913,12,3.277494431,0.385307342,36.8920517
110,0,-0.297098339,12,3.687768936,0.096852303,28.95499992
111,1,0.423854858,9,2.624671936,0.266429842,33.48450089
112,1,0.593040109,12,2.589715242,0.624178708,37.14300156
113,1,0.637278676,9,2.083333254,0.463917524,53.33000183
114,1,0.409910321,9,1.717369914,0.14705883,80.95200348
115,0,0.773200929,9,2.662406921,0.622950792,119.0154953
116,0,-0.039437618,12,2.61324048,0.722784817,30.25799942
117,0,0.416196704,12,2.02934742,0.197132617,133.6824493
118,1,0.501007855,12,2.286236763,0.599814296,62.73089981
119,0,-0.253908157,14,2.031019211,0.260997057,30.08390045
120,0,-0.035433665,16,1.650164962,0.150000006,32.18415833
121,1,0.064895175,9,2.914036036,0.648479402,66.61713409
122,1,-0.096923165,12,2.324905634,0.784455955,35.14496231
123,0,0.221867606,12,0.9310987,0.535333991,34.6448822
124,1,-0.042685516,12,2.381661177,0.556144059,71.83040619
125,1,0.071013518,6,1.994017959,0.588388205,41.59999847
126,0,0.198028147,12,2.941176414,0.745076597,80.59880066
127,1,0.341069251,12,2.1875,0.469892472,169.3903503
128,1,0.244671419,14,1.65289259,0.510355055,44.43384933
129,0,0.120345846,9,0.8599931,0.580865622,59.68880081
130,1,-0.178851008,12,1.589825153,0.680000007,52.5163002
131,1,0.275662363,12,2.224919081,0.540709794,58.96310043
132,1,0.096103825,9,0.860215068,0.446666658,64.06866455
133,1,0.164858773,12,2.030685902,0.413155198,146.5348969
134,1,0.298288107,9,1.507840753,0.191646188,89.97640228
135,0,0.166607037,12,2.630809784,0.943010747,74.92825317
136,1,0.247481272,14,2.459016323,0.774999976,71.85075378
137,1,0.062081788,16,1.944984674,0.448377579,65.72147369
138,1,-0.24524194,9,0.247831479,0.487465173,107.1320038
139,1,0.776616216,12,0.474608451,0.391304344,104.9617767
140,1,0.775098681,14,0.911023378,0.67632848,74.71704865
141,1,0.043713659,12,0.587199032,0.812217176,74.02087402
142,1,0.657975972,14,0,0.127395719,43.32187653
143,0,0.417449087,20,0.75103265,0.5128901,73.15499878
144,0,0.179680213,6,1.958863854,0.353125006,38.95149994
145,0,0.44856301,16,0.854214132,0.35514918,72.0140152
146,1,0.18954429,6,0.371195257,0.321839094,52.66835785
147,1,-1.015057921,16,0.878992081,0.712881029,135.2196045
148,1,0.389469475,12,1.90476191,0.856321812,8.758049965
149,1,0.057242099,12,1.470948815,0.70566386,48.27999878
150,1,0.241912931,12,1.245717883,0.609780431,66.90519714
151,0,0.619234741,9,0.926784039,0.501858711,30.29400063
152,1,0.545313716,6,1.010100961,0.496309966,86.86239624
153,1,0.32839489,12,0.663129985,0.370129883,84.31015015
154,0,0.637842476,9,0.99502486,0.484745771,59.32514954
155,1,0.60355556,6,1.008064508,0.388692588,54.37410355
156,0,0.726054132,6,1.481481433,0.28125,98.16355133
157,1,0.305389911,12,0.999500275,0.498007983,77.70350647
158,0,0.564634144,12,2.297090292,0.633251846,78.59700012
159,1,1.164048433,16,1.098096609,0.270308137,34.02399826
160,1,0.249475643,16,0.578201771,0.599771976,76.51599884
161,0,0.469110727,9,0.780031204,0.435294122,58.09220123
162,1,0.498423517,9,2.146580696,0.898081541,58.17169952
163,1,0.282686591,12,1.064962745,0.097701147,48.56650162
164,1,0.615885496,16,1.238236785,0.110344827,81.94950104
165,1,0.06033276,12,1.256281376,0.587991714,81.62020111
166,1,0.68051964,9,1.070281863,0.212290496,83.10549927
167,0,0.37353766,16,1.252348185,0.637850463,70.05339813
168,1,0.638377428,12,1.917282939,0.47702834,73.65799713
169,0,0.340049744,12,3.340757132,0.534090936,103.3121262
170,1,0.017075749,12,2.173913002,0.42914173,74.04889679
171,1,0.765497267,14,0.761324704,0.496360034,72.22094727
172,0,0.353851855,12,0.371747226,0.146341458,122.5167236
173,0,0.326138586,16,0.659444153,0.241456404,34.91199875
174,0,0.642881155,14,0.468274415,0.557213902,114.4449997
175,1,0.83986038,12,0.551800251,0.465951741,153.75
176,1,0.116611198,9,0.694685638,0.265060246,109.0839386
177,1,0.004405403,12,1.136880398,0.201619431,52.53300095
178,1,0.38411656,9,0.452693522,0.314741045,25.20599937
179,0,-0.116160482,12,0.353481799,0.145454541,61.78499985
180,1,0.13141264,9,0.142857149,0.714285731,34.09550095
181,1,0.003346716,12,0.651465774,0.600472808,68.3395462
182,1,0.545998275,9,0.70989114,0.336099595,123.3981094
183,0,-0.502127409,9,1.712328792,0.828157365,34.5583992
184,1,0.21507664,12,0.827129841,0.305555552,59.04424667
185,0,0.080167808,16,4.521963596,0.492610842,24.25939941
186,0,-0.142789274,12,1.208702683,0.546762586,54.5835495
187,1,0.235896796,12,1.552795053,0.784615397,55.43159866
188,0,0.672770143,12,2.362669706,0.259259254,61.79535294
189,1,-0.030390643,16,2.376909971,0.594965696,63.07947159
190,1,-0.123102747,6,1.9041574,0.745005846,49.34849548
191,1,-0.158329308,9,2.979737759,0.673144877,56.3804512
192,1,-0.034995485,12,1.464557648,0.25,37.74240112
193,1,0.212072402,12,3.12360549,0.193740681,42.61271286
194,1,0.283299148,9,2.337131262,0.639501452,68.980896
195,0,0.44972384,12,1.593625546,0.236334398,32.80176163
196,1,-0.111972749,16,3.109452724,0.043209877,48.61535263
197,1,0.191176578,9,1.590909123,0.4793621,67.67739868
198,1,0.303920835,6,1.066098094,0.5,76.61799622
199,0,0.325032532,9,1.751313448,0.158508152,64.91149902
200,1,0.366499305,12,0.937207103,0.874074101,88.6371994
201,0,0.329360604,12,0.668896317,0.467780441,86.26399994
202,1,0.240974292,16,0.378071845,0.354471534,135.1839905
203,0,0.631215274,9,0.449943751,0.307996064,163.9369965
204,1,0.781481147,16,0.165050551,0.214402318,34.03299332
205,1,1.033569813,9,0.543675244,0.332737029,93.23600006
206,0,0.762224972,16,0.329001486,0.214586258,100.2813644
207,1,1.059723258,12,0.363954008,0.35533911,43.79507828
208,1,0.868876159,12,0.173370317,0.527106464,112.8888321
209,1,0.455629647,6,1.398601413,0.611650467,114.0899963
210,1,0.420078933,16,1.07296133,0.261489689,132.7454987
211,1,0.279910833,12,0.334001333,0.540000021,137.7187653
212,1,0.123119302,16,0.277392507,0.69894737,122.7547379
213,1,0.645330548,14,0.240847781,0.100783877,133.5538177
214,0,0.645224571,16,0.307550371,0.627615035,183.7548828
215,1,1.075092196,12,1.129688263,0.119959161,84.10649872
216,1,0.71540463,9,2.244165182,0.199652776,63.54199219
217,0,1.23114574,9,0.458452731,0.093764648,84.03979492
218,0,0.405927628,9,0.930232584,0.307385236,87.52999878
219,1,0.744835794,12,0.294117659,0.272727281,165.9519958
220,1,0.432939559,6,0.245158121,0.066795744,99.53900146
221,1,0.45625487,16,0.40766409,0.582758605,101.2833023
222,1,0.166213319,12,0.398327023,0.193129778,67.42804718
223,1,1.536451221,12,0.641231179,0.592105269,89.48799896
224,1,0.726778328,14,0.20002,0.300199598,79.53099823
225,0,0.82713443,9,0.903750539,0.320895523,109.1050034
226,0,0.976171732,12,0.442477882,0.517374516,86.00800323
227,1,0.928812623,9,1.088139296,0.195465207,74.08899689
228,1,0.836585939,9,0.689940691,0.59968102,247
229,1,-0.206122786,6,0.926569402,0.193423599,18.31189919
230,0,0.194385558,9,1.972710848,0.408326656,56.87585449
231,0,-0.228046149,6,1.729106665,0.698019803,67.7748642
232,1,-0.276748657,16,1.551590323,0.235294119,47.68271637
233,1,0.326938868,6,1.438848972,0.282828271,26.86219978
234,1,0.424876541,9,1.536688447,0.190235689,27.52026367
235,1,0.197034881,9,1.430615187,0.096009038,66.63700104
236,1,0.979022503,12,0.600137174,0.129008472,87.07700348
237,1,0.30432409,6,0.737354398,0.421331763,63.07749939
238,0,-0.233007729,12,1.877346635,0.426751584,81.33899689
239,0,-0.20526053,9,1.657785654,0.664429545,111.8644028
240,1,0.855778754,9,1.689189196,0.710506439,95.32585144
241,1,-0.231940135,16,1.241310835,0.599784255,107.5580521
242,1,-0.045621175,12,0.756334305,0.600108206,71.48750305
243,1,0.503176093,12,0.655093372,0.249681532,108.1704483
244,0,1.11737287,9,0.141502753,0.071428575,87.43154907
245,1,0.31458196,16,0.279095739,0.131271884,68.80950165
246,0,0.228086814,12,0.189717323,0.377337098,46.19714737
247,0,0.798025787,12,0.385505021,0.28525123,77.08914185
248,1,0.215165034,12,0.434467763,0.47114253,69.71776581
249,0,0.233343154,12,3.128911257,0.154411763,36.22748947
250,1,0.31693849,12,6.889050007,0.319284797,72.48713684
251,0,0.446225047,12,0.776548266,0.126400992,82.71820068
252,1,0.225298584,12,2.563163757,0.490196079,95.05196381
253,1,-0.221368685,16,3.211303711,0.58626467,98.81569672
254,0,0.089653142,14,4.494381905,0.410353541,57.69929504
255,1,0.54512912,12,2.767208576,0.201612905,73.71676636
256,1,0.310572356,12,3.75939846,0.128392488,38.01386642
257,0,0.625976682,14,1.40884757,0.269509971,27.85323906
258,1,0.294421017,14,2.191180468,0.158982515,70.25611115
259,1,0.437476903,9,2.93599534,0.484391809,110.2724991
260,0,0.232981279,9,1.393816471,0.259348601,146.167511
261,0,-0.278021842,12,1.702610612,0.546448112,151.4066315
262,1,0.563462079,12,1.994813442,0.631768942,88.27799988
263,0,0.694800019,12,1.210067749,0.093984962,91.12019348
264,1,0.129682615,12,1.772002339,0.5,98.78765106
265,1,-0.077612951,12,1.801801801,0.209999993,25.39570045
266,1,0.25800541,12,1.460564733,0.60150373,31.57184982
267,1,0.241510585,12,1.488833785,0.065789476,81.21890259
268,0,0.454516113,12,1.438848972,0.53533566,80.52610016
269,1,0.228393555,16,1.18156755,0.648393214,71.84539795
270,1,0.308673084,6,2.385685921,0.149917632,80.83920288
271,0,0.123033278,12,1.785714269,0.46875,83.31500244
272,1,0.156313837,14,1.358695626,0.499349803,74.66999817
273,1,0.551029205,16,2.120890856,0.495283008,35.24499893
274,1,0.316920578,9,1.631321311,0.300527245,64.02999878
275,1,0.317687184,9,1.622498631,0.50465548,74.29000092
276,0,0.259392768,12,3.322259188,0.410757959,88.35500336
277,0,0.226812914,12,1.269035578,0.460887939,105.2562027
278,1,0.227375895,16,1.038421631,0.130522087,41.13690186
279,0,0.320968568,9,1.243394494,0.548556447,95.31864929
280,1,0.114239812,12,1.414093852,0.691202879,46.62694931
281,1,-0.086680137,12,1.068376064,0.11210762,39.0929985
282,1,0.089259334,12,0.813890398,0.445387065,49.44739914
283,0,0.310358435,9,0.457456529,0.877192974,124.764801
284,1,0.462190002,12,0.81234771,0.405448705,49.99374771
285,0,0.214243189,12,2.629848719,0.119999997,45.80139923
286,1,0.545998096,14,1.714677691,0.695214093,77.68275452
287,1,0.106976844,12,2.325581312,0.432188064,36.00215149
288,1,0.21238099,12,1.651186824,0.463604867,53.74720001
289,1,-0.127430066,12,2.656546593,0.334666669,38.2621994
290,1,0.592933059,16,3.877639055,0.201859236,53.77600098
291,0,0.536506295,12,3.118179083,0.750561774,89.4260025
292,0,0.504606605,12,1.87969923,0.748571455,92.93399811
293,0,1.674307823,16,1.587931752,0.109090909,67.95010376
294,1,-0.354756057,16,1.541069508,0.070287541,38.09550095
295,1,0.639569402,12,2.105263233,0.144097224,60.60240173
296,0,0.682731509,6,1.320713162,0.66195941,38.23099899
297,1,1.242212534,12,1.518602848,0.443909168,121.5800018
298,0,0.274365813,9,1.893491149,0.209263861,87.97350311
299,1,0.808059156,12,2.812675714,0.662319839,125.0549469
300,1,0.560009718,9,0.872219801,0.743324697,41.25099945
301,1,0.326853454,12,1.697792888,0.39301309,67.41200256
302,1,0.430109978,9,3.15789485,0.655759156,50.63700104
303,0,0.397221416,12,1.906257033,0.570457637,69.90200043
304,1,0.496908724,12,1.917545557,0.207373276,45.72539902
305,1,0.523238063,12,3.599280119,0.131845847,148.6959991
306,1,0.744277894,12,2.830188751,0.79435128,147.9109955
307,0,0.580057502,12,2.309468746,0.455214709,142.9929962
308,1,0.41077441,9,0.938967109,0.458100557,76.2492981
309,1,-0.046609614,20,1.125763893,0.349573702,56.32989883
310,0,0.328832954,9,1.447701812,0.270635992,69.10700226
311,1,0.121313758,9,0.769230783,0.318181813,147.1668549
312,0,0.013561186,16,0.957243145,0.326732665,82.58730316
313,0,-0.092180386,6,1.649620533,0.137931034,151.6134949
314,1,-0.344270229,6,0.671591699,0.252479017,127.5649033
315,1,0.376064181,12,0.84961766,0.338294983,118.8086014
316,1,0.21627602,9,0.814774573,0.528634369,176.9632568
317,1,0.703721106,16,0.86692673,0.123128116,105.7809982
318,0,0.633978605,12,1.065643668,0.025599999,110.4044952
319,0,0.143173948,12,0.649350643,0.11071682,64.34700012
320,0,-0.032232936,14,0.876936555,0.495103359,40.63150024
321,1,-0.219791919,16,1.310902357,0.227707013,72.15200043
322,1,0.040396694,12,0.794070959,0.295781642,55.52799988
323,1,0.071536846,12,0.550660789,0.14903526,61.01300049
324,1,-0.129866451,16,0.478927195,0.37983036,46.88899994
325,0,0.484713346,9,1.459854007,0.575539589,105.9795914
326,1,0.314116836,12,0.667111397,0.437262356,84.70407104
327,1,0.552169263,12,0.558659196,0.226358145,56.06538773
328,1,0.068595372,16,1.124437809,0.586890221,38.57572174
329,1,0.165269896,9,0.879971862,0.511446118,125.2320023
330,1,0.287247241,12,1.232177377,0.320851684,57.53210068
331,0,0.26383242,14,1.171875,0.583333313,94.74710083
332,1,-0.053955756,12,0.797321022,0.040717736,80.60600281
333,1,-0.336122841,16,1.609010458,0.160557181,84.13622284
334,0,0.125063628,12,0.6018399,0.219551936,77.10700226
335,0,-0.117124654,12,0.81455338,0.249714941,83.44882965
336,1,-0.053519189,12,2.040059328,0.207913667,76.98642731
337,1,0.696343422,6,0.839630544,0.378920943,140.6477051
338,1,0.470656991,16,1.191043377,0.055217594,94.76747894
339,0,0.391863316,12,1.069518685,0.213464692,96.174263
340,1,0.593668461,12,0.318471342,0.429644823,84.25140381
341,1,0.331452459,12,0.860030115,0.149042457,83.24956512
342,0,0.175219372,12,0.897504926,0.314247668,86.88144684
343,1,-0.041328792,9,1.143641353,0.526268125,76.75714874
344,1,0.214882165,9,1.515534282,0.105639853,83.68835449
345,0,0.231314763,16,2.053990602,0.195121944,103.8578033
346,1,0.271017373,16,1.972386599,0.110116385,109.1162491
347,0,0.288661867,14,1.312828183,0.247068018,123.5429993
348,1,0.457649052,16,1.669250011,0.351975381,111.5635757
349,0,0.049918618,12,1.036376834,0.088694327,122.7483902
350,1,0.434440196,12,0.895789802,0.294464082,109.0960159
351,1,0.501462936,9,1.242236018,0.566125274,104.1755981
352,1,0.093862087,12,1.366493583,0.408963591,74.09480286
353,0,0.082503468,12,1.662510395,0.319173366,73.36810303
354,1,-0.147954971,12,1.640881419,0.601092875,112.2115707
355,0,0.318381995,12,1.020408154,0.203856751,111.2472305
356,1,0.245186836,12,0.888888896,0.245833337,113.8903656
357,0,-0.125674769,12,1.025040269,0.663239062,110.1605606
358,1,0.17162782,12,0.937207103,0.461538464,119.5452194
359,1,-0.10084708,9,0.472664237,0.25688073,62.56305695
360,1,0.229865074,12,0.41050902,0.255847961,58.17449188
361,1,-0.046815131,12,0.839912653,0.372650683,71.77184296
362,0,-0.209985286,12,0.804262578,0.523756087,61.80852127
363,1,-0.143578351,9,0.737463117,0.772540987,128.0637054
364,1,0.36544928,12,1.682439566,0.550370395,105.8615799
365,0,0.114694804,12,1.776198983,0.216568053,181.3641815
366,0,0.380689621,16,2.416107416,0.30120483,116.8039627
367,1,0.227971077,9,1.145475388,0.166494846,65.25137329
368,0,0.225592077,12,1.745810032,0.3515625,98.32800293
369,1,0.280121058,9,0.882924259,0.625066936,51.85578537
370,1,-0.180745557,12,0.844475746,0.827586234,99.62403107
371,1,0.198328421,12,1.001502275,0.317258894,73.5058136
372,0,0.284747779,12,0.98895663,0.160163075,74.90956879
373,1,0.148328841,12,1.015817761,0.550043523,58.62523651
374,1,0.411985725,12,1.612903237,0.092331767,57.13817596
375,0,0.355146259,9,0.869111776,0.199316636,72.18910217
376,1,0.400619388,9,1.368738055,0.139910311,82.89047241
377,1,-0.020274419,12,1.109262347,0.504244506,84.92910767
378,1,-0.184681088,16,0.813890398,0.061979167,139.1690521
379,1,-0.282304496,12,1.587931752,0.040783033,190.2459869
380,0,0.41010803,9,1.111111164,0.571428597,256.6019897
381,1,0.000622339,6,0.980872989,0.300601214,44.72399902
382,1,0.145387083,12,0.736783922,0.08130081,173.4432678
383,0,0.150939107,16,0.84793669,0.342315108,156.4649963
384,1,0.180000767,16,1.763446331,0.410996944,198.9300079
385,1,0.352770358,12,2.777226686,0.813359499,156.7599945
386,1,0.019934764,9,1.360544205,0.413050801,118.4599991
387,0,0.193141073,16,1.509813786,0.649015605,109.1090012
388,1,0.266685158,12,2.067824602,0.690410972,890.2416992
389,0,0.063501626,16,0.912304699,0.538461566,60.78450012
390,1,0.210252807,9,2.421959162,0.664680839,123.8895035
391,1,-0.334592372,9,1.454092264,0.774309695,109.7487488
392,1,0.30879721,16,1.647446513,0.540827155,106.6849976
393,0,0.373395443,6,2.540488958,0.584415555,94.8575058
394,0,0.289662093,12,2.499375105,0.944615364,41.51499939
395,1,0.196475849,12,1.785714269,0.934398651,118.4380035
396,1,-0.092316523,12,3.134040594,0.541065812,159.01651
397,1,0.115981534,9,3.095975161,0.71070236,185.727005
398,1,0.264410675,9,1.341831565,0.689906359,63.75500107
399,1,0.378837258,9,2.181025028,0.615508914,48.73500061
400,0,0.179477617,12,0.818107426,0.612612605,71.91500092
401,0,0.284584492,9,1.145475388,0.796238244,66.40499878
402,1,0.305066079,12,1.427212238,0.662905514,95.66500092
403,0,0.01393333,12,2.348796129,0.231240422,57.45800018
404,1,0.268256843,12,0.942951441,0.489130437,55.79610062
405,0,0.225387439,9,1.182033062,0.829375565,48.20930099
406,1,-0.262613773,9,1.357466102,0.693406582,123.001297
407,1,0.38105467,12,0.61472261,0.405790001,188.8037109
408,1,0.538819671,16,1.230769277,0.370956153,41.83599854
409,0,0.052304119,16,1.28998971,0.201970443,50.40200043
410,1,0.114246748,12,1.340782166,0.440251559,98.64849854
411,0,-0.074014269,16,0.854153335,0.54850477,77.47814941
412,1,0.226959497,12,0.553097367,0.245787337,115.8835068
413,0,-0.390521139,12,2.103049517,0.23212193,43
414,1,0.639016211,16,2.604166746,0.173913047,93.5
415,1,0.117066577,9,1.865091681,0.331820488,96
416,0,-0.071586959,9,1.046572447,0.293103456,67.5
417,1,-0.060637634,12,1.315789461,0.532699168,57.10200119
418,1,-0.197833031,9,0.5,0.225234613,62.411129
419,0,0.199838281,9,0.270489573,0.66057694,64.72879791
420,0,-0.01398766,9,1.745200753,0.366279066,46.25641251
421,1,0.163443029,12,1.110802531,0.383771926,124.8493271
422,1,0.310083061,12,0.774593353,0.822293282,66.47309875
423,1,0.279817671,16,0.750469029,0.617050052,106.4469986
424,0,0.103207402,9,2.520478964,0.94101876,83.26509857
425,0,0.084956966,9,1.258389235,0.535127044,119.0263519
426,0,-0.106785879,16,1.552795053,0.196078435,273.4772949
427,1,0.581336737,12,0.935453713,0.203999996,204.8131561
428,1,0.555809617,12,1.519756794,0.301886797,223.8545074
429,0,0.252119303,12,0.598981738,0.354729742,180.6065521
430,1,0.293442756,12,1.690259933,0.63746959,174.8796997
431,1,0.222758397,9,1.576931715,0.242194086,44.87340164
432,1,0.371321052,12,1.269357681,0.336862355,81.02200317
433,1,0.094274074,12,1.776198983,0.316872418,73.7519989
434,0,0.332146943,12,0.502008021,0.503289461,66.35299683
435,1,0.121265307,16,1.36239779,0.423076928,141.8670044
436,1,0.493350118,12,0.298596591,0.926972926,143.0350037
437,1,0.263907343,6,1.376868606,0.018674137,96.23500061
438,1,0.205580041,9,2.132196188,0.300000012,94.86399841
439,1,0.036967322,12,1.127395749,0.232903868,67.6352005
440,1,0.044226769,16,1.391788483,0.067238912,105.5835037
441,1,0.105805688,12,1.109467506,0.432432443,43.5858078
442,0,-0.115423001,14,1.273885369,0.237333328,57.39873123
443,0,0.308314085,16,0.896860957,0.162393168,34.29502869
444,1,0.009731955,12,1.267427087,0.132558137,68.31105042
445,1,0.152788118,12,0.527287126,0.303357303,58.99174881
446,1,0.11759375,14,0.858184934,0.834151149,61.75049973
447,1,0.309931785,14,1.051893353,0.284768224,37.58670044
448,1,0.258475929,12,2.816901445,0.246601939,107.9230042
449,0,0.484396815,16,2.191180468,0.394822001,44.9394989
450,1,0.094471902,16,1.047668934,0.127615064,31.29500008
451,1,-0.051696233,16,2.107037544,0.220183492,65.61849976
452,1,0.315035105,12,4.250796795,0.384816766,63.49100113
453,0,-0.162793845,14,1.460920334,0.214285716,55.46450043
454,0,-0.149612874,12,0.592768252,0.137634411,65.66049957
455,1,0.436442465,12,1.751313448,0.826106369,150.1385956
456,1,0.323633552,14,1.045660496,0.699447513,31.97612381
457,1,0.139890134,12,1.881467581,0.799701035,90.74994659
458,1,0.524924338,9,0.41390729,0.777503729,261.1543579
459,0,0.153203174,9,0.731261432,0.387900352,98.40992737
460,1,-0.190660402,12,1.432151794,0.650234759,63.6291008
461,1,0.118359499,12,0.461467475,0.349999994,26.27000046
462,1,-0.201049551,12,1.978630781,0.635474861,138.7556
