"studentid","teacher","student_house","teacher_house","grade"
58866257,"Snape","Ravenclaw","Slytherin",36.71802782548956
58866257,"Flitwick","Ravenclaw","Ravenclaw",59.07667115468132
58866257,"Lupin","Ravenclaw","Gryffindor",64.37510179714779
58866257,"Sprout","Ravenclaw","Hufflepuff",50.67254777660464
58866257,"Trelawney","Ravenclaw","Ravenclaw",43.20341377365929
58866257,"McGonagall","Ravenclaw","Gryffindor",63.942602742043476
56067843,"Dumbledore","Hufflepuff","Gryffindor",54.60958768935413
56067843,"Snape","Hufflepuff","Slytherin",51.894089509004445
56067843,"Flitwick","Hufflepuff","Ravenclaw",58.65688238577715
56067843,"Lupin","Hufflepuff","Gryffindor",70.35213237083634
56067843,"Sprout","Hufflepuff","Hufflepuff",46.82304999772242
56067843,"Trelawney","Hufflepuff","Ravenclaw",57.961466083928926
56067843,"McGonagall","Hufflepuff","Gryffindor",54.716684723734
55724322,"Dumbledore","Hufflepuff","Gryffindor",46.55829002115806
55724322,"Snape","Hufflepuff","Slytherin",36.77666065993333
55724322,"Flitwick","Hufflepuff","Ravenclaw",50.159256203141446
55724322,"Lupin","Hufflepuff","Gryffindor",52.48263608688012
55724322,"Sprout","Hufflepuff","Hufflepuff",40.49421150226862
55724322,"Trelawney","Hufflepuff","Ravenclaw",51.09252512662092
55724322,"McGonagall","Hufflepuff","Gryffindor",54.11575883788833
50281056,"Dumbledore","Ravenclaw","Gryffindor",64.26624562937576
50281056,"Snape","Ravenclaw","Slytherin",48.97349384336164
50281056,"Flitwick","Ravenclaw","Ravenclaw",72.21144493131075
50281056,"Lupin","Ravenclaw","Gryffindor",84.44544422757463
50281056,"Sprout","Ravenclaw","Hufflepuff",54.26205925756284
50281056,"Trelawney","Ravenclaw","Ravenclaw",71.70287352746068
50281056,"McGonagall","Ravenclaw","Gryffindor",72.17809127957742
54182617,"Dumbledore","Gryffindor","Gryffindor",69.93965712107241
54182617,"Snape","Gryffindor","Slytherin",53.833832695231536
54182617,"Flitwick","Gryffindor","Ravenclaw",66.54459818542368
54182617,"Lupin","Gryffindor","Gryffindor",79.85181598866063
54182617,"Sprout","Gryffindor","Hufflepuff",46.1018660080576
54182617,"Trelawney","Gryffindor","Ravenclaw",64.19821575141344
54182617,"McGonagall","Gryffindor","Gryffindor",78.29169545739454
54300936,"Dumbledore","Hufflepuff","Gryffindor",55.593124753090684
54300936,"Snape","Hufflepuff","Slytherin",41.20275713337682
54300936,"Flitwick","Hufflepuff","Ravenclaw",52.74116342883933
54300936,"Lupin","Hufflepuff","Gryffindor",55.18068328517215
54300936,"Sprout","Hufflepuff","Hufflepuff",41.48283397368115
54300936,"Trelawney","Hufflepuff","Ravenclaw",49.678449291619685
54300936,"McGonagall","Hufflepuff","Gryffindor",48.1997335858608
53749282,"Dumbledore","Hufflepuff","Gryffindor",41.68093870301216
53749282,"Snape","Hufflepuff","Slytherin",29.38621878458855
53749282,"Flitwick","Hufflepuff","Ravenclaw",51.06850101596737
53749282,"Lupin","Hufflepuff","Gryffindor",60.97841996738586
53749282,"Sprout","Hufflepuff","Hufflepuff",32.06975668993714
53749282,"Trelawney","Hufflepuff","Ravenclaw",44.57345710961141
53749282,"McGonagall","Hufflepuff","Gryffindor",40.14728492574454
58506613,"Dumbledore","Gryffindor","Gryffindor",55.71633338645477
58506613,"Snape","Gryffindor","Slytherin",44.56169382629616
58506613,"Flitwick","Gryffindor","Ravenclaw",59.682861813491904
58506613,"Lupin","Gryffindor","Gryffindor",66.99095771728187
58506613,"Sprout","Gryffindor","Hufflepuff",47.37676986265115
58506613,"Trelawney","Gryffindor","Ravenclaw",65.36759522620403
58506613,"McGonagall","Gryffindor","Gryffindor",59.51270554789411
57494133,"Dumbledore","Gryffindor","Gryffindor",50.08013512198874
57494133,"Snape","Gryffindor","Slytherin",44.303130209303745
57494133,"Flitwick","Gryffindor","Ravenclaw",62.110408949317424
57494133,"Lupin","Gryffindor","Gryffindor",75.19340284963913
57494133,"Sprout","Gryffindor","Hufflepuff",54.31825864260549
57494133,"Trelawney","Gryffindor","Ravenclaw",44.180988188997546
57494133,"McGonagall","Gryffindor","Gryffindor",64.98927935056112
55620483,"Dumbledore","Slytherin","Gryffindor",40.202320613853715
55620483,"Snape","Slytherin","Slytherin",33.736551944089015
55620483,"Flitwick","Slytherin","Ravenclaw",48.94137958854835
55620483,"Lupin","Slytherin","Gryffindor",60.23030593488453
55620483,"Sprout","Slytherin","Hufflepuff",42.053965713641986
55620483,"Trelawney","Slytherin","Ravenclaw",42.607134541427115
55620483,"McGonagall","Slytherin","Gryffindor",50.2439602322681
57945742,"Dumbledore","Gryffindor","Gryffindor",53.993826901908946
57945742,"Snape","Gryffindor","Slytherin",43.90397017399918
57945742,"Flitwick","Gryffindor","Ravenclaw",52.40303263431048
57945742,"Lupin","Gryffindor","Gryffindor",65.73676803739613
57945742,"Sprout","Gryffindor","Hufflepuff",41.10119812363454
57945742,"Trelawney","Gryffindor","Ravenclaw",57.10764639889708
57945742,"McGonagall","Gryffindor","Gryffindor",63.661538326884546
53569727,"Dumbledore","Slytherin","Gryffindor",54.13265076283549
53569727,"Snape","Slytherin","Slytherin",45.600019725179166
53569727,"Flitwick","Slytherin","Ravenclaw",62.07110989095145
53569727,"Lupin","Slytherin","Gryffindor",69.84200902731541
53569727,"Sprout","Slytherin","Hufflepuff",46.99217068355384
53569727,"Trelawney","Slytherin","Ravenclaw",54.44887534867722
53569727,"McGonagall","Slytherin","Gryffindor",60.96650357052598
51230623,"Dumbledore","Ravenclaw","Gryffindor",75.22349270265642
51230623,"Snape","Ravenclaw","Slytherin",58.350904712283075
51230623,"Flitwick","Ravenclaw","Ravenclaw",75.55083601493195
51230623,"Lupin","Ravenclaw","Gryffindor",77.90895579628318
51230623,"Sprout","Ravenclaw","Hufflepuff",64.46295297035154
51230623,"Trelawney","Ravenclaw","Ravenclaw",76.72343873603069
51230623,"McGonagall","Ravenclaw","Gryffindor",80.21977322135233
59009365,"Dumbledore","Gryffindor","Gryffindor",49.45801984298412
59009365,"Snape","Gryffindor","Slytherin",47.3387873634529
59009365,"Flitwick","Gryffindor","Ravenclaw",59.73955038433632
59009365,"Lupin","Gryffindor","Gryffindor",70.89985804647344
59009365,"Sprout","Gryffindor","Hufflepuff",42.514851688247035
59009365,"Trelawney","Gryffindor","Ravenclaw",54.04306334983716
59009365,"McGonagall","Gryffindor","Gryffindor",66.12596493198195
51185119,"Dumbledore","Slytherin","Gryffindor",39.588713107511296
51185119,"Snape","Slytherin","Slytherin",18.13613361568521
51185119,"Flitwick","Slytherin","Ravenclaw",34.15935081323593
51185119,"Lupin","Slytherin","Gryffindor",43.07053275538666
51185119,"Sprout","Slytherin","Hufflepuff",35.4079681886894
51185119,"Trelawney","Slytherin","Ravenclaw",43.78151823251516
51185119,"McGonagall","Slytherin","Gryffindor",43.703874579255746
50684274,"Dumbledore","Hufflepuff","Gryffindor",48.8081785818476
50684274,"Snape","Hufflepuff","Slytherin",21.621586630915132
50684274,"Flitwick","Hufflepuff","Ravenclaw",47.777082789763966
50684274,"Lupin","Hufflepuff","Gryffindor",53.00076258057446
50684274,"Sprout","Hufflepuff","Hufflepuff",32.04767041024688
50684274,"Trelawney","Hufflepuff","Ravenclaw",49.59407111507776
50684274,"McGonagall","Hufflepuff","Gryffindor",51.91207316009853
53414750,"Dumbledore","Slytherin","Gryffindor",42.498812796735635
53414750,"Snape","Slytherin","Slytherin",16.88249453547313
53414750,"Flitwick","Slytherin","Ravenclaw",37.191164281387046
53414750,"Lupin","Slytherin","Gryffindor",43.838572722698544
53414750,"Sprout","Slytherin","Hufflepuff",37.536307372488224
53414750,"Trelawney","Slytherin","Ravenclaw",32.38489783319905
53414750,"McGonagall","Slytherin","Gryffindor",39.54681931568751
57808065,"Dumbledore","Gryffindor","Gryffindor",53.33640524133372
57808065,"Snape","Gryffindor","Slytherin",47.79868457174487
57808065,"Flitwick","Gryffindor","Ravenclaw",58.83234563070248
57808065,"Lupin","Gryffindor","Gryffindor",63.48077928637014
57808065,"Sprout","Gryffindor","Hufflepuff",52.32604389930306
57808065,"Trelawney","Gryffindor","Ravenclaw",52.45047843261652
57808065,"McGonagall","Gryffindor","Gryffindor",59.53022479901874
58911329,"Dumbledore","Slytherin","Gryffindor",23.04494648449427
58911329,"Snape","Slytherin","Slytherin",22.251889863400447
58911329,"Flitwick","Slytherin","Ravenclaw",40.38556585245789
58911329,"Lupin","Slytherin","Gryffindor",54.46394717433297
58911329,"Sprout","Slytherin","Hufflepuff",25.321002113882614
58911329,"Trelawney","Slytherin","Ravenclaw",35.360678846595945
58911329,"McGonagall","Slytherin","Gryffindor",42.29026637108659
55751240,"Dumbledore","Gryffindor","Gryffindor",60.47325160088906
55751240,"Snape","Gryffindor","Slytherin",48.84704228827301
55751240,"Flitwick","Gryffindor","Ravenclaw",55.311521723532074
55751240,"Lupin","Gryffindor","Gryffindor",79.43149459946245
55751240,"Sprout","Gryffindor","Hufflepuff",54.814022114056556
55751240,"Trelawney","Gryffindor","Ravenclaw",65.22090054916677
55751240,"McGonagall","Gryffindor","Gryffindor",74.96208236211552
51856064,"Dumbledore","Slytherin","Gryffindor",53.78696450728879
51856064,"Snape","Slytherin","Slytherin",49.890518390238256
51856064,"Flitwick","Slytherin","Ravenclaw",58.90906971768666
51856064,"Lupin","Slytherin","Gryffindor",63.61675588843676
51856064,"Sprout","Slytherin","Hufflepuff",48.436744231664704
51856064,"Trelawney","Slytherin","Ravenclaw",60.71184632646745
51856064,"McGonagall","Slytherin","Gryffindor",54.09130285782541
53397449,"Dumbledore","Gryffindor","Gryffindor",70.4847623382482
53397449,"Snape","Gryffindor","Slytherin",56.144567247818685
53397449,"Flitwick","Gryffindor","Ravenclaw",63.55331054134366
53397449,"Lupin","Gryffindor","Gryffindor",85.3061255355208
53397449,"Sprout","Gryffindor","Hufflepuff",54.355197864065076
53397449,"Trelawney","Gryffindor","Ravenclaw",69.10375097444665
53397449,"McGonagall","Gryffindor","Gryffindor",78.01429207595284
53549676,"Dumbledore","Ravenclaw","Gryffindor",67.84653024539776
53549676,"Snape","Ravenclaw","Slytherin",50.82161095661135
53549676,"Flitwick","Ravenclaw","Ravenclaw",73.21398742590132
53549676,"Lupin","Ravenclaw","Gryffindor",85.62383788261889
53549676,"Sprout","Ravenclaw","Hufflepuff",57.75623431882374
53549676,"Trelawney","Ravenclaw","Ravenclaw",73.96188015260991
53549676,"McGonagall","Ravenclaw","Gryffindor",73.89600429255516
54148240,"Dumbledore","Gryffindor","Gryffindor",62.13723093117153
54148240,"Snape","Gryffindor","Slytherin",48.16575746023849
54148240,"Flitwick","Gryffindor","Ravenclaw",57.170671211265855
54148240,"Lupin","Gryffindor","Gryffindor",69.42822847810186
54148240,"Sprout","Gryffindor","Hufflepuff",50.220280183814474
54148240,"Trelawney","Gryffindor","Ravenclaw",59.49563511004317
54148240,"McGonagall","Gryffindor","Gryffindor",65.32346710028246
51936772,"Dumbledore","Ravenclaw","Gryffindor",67.40184665135642
51936772,"Snape","Ravenclaw","Slytherin",58.20433331332176
51936772,"Flitwick","Ravenclaw","Ravenclaw",83.7231483379187
51936772,"Lupin","Ravenclaw","Gryffindor",87.50841678513139
51936772,"Sprout","Ravenclaw","Hufflepuff",60.44617967007004
51936772,"Trelawney","Ravenclaw","Ravenclaw",72.1928623314072
51936772,"McGonagall","Ravenclaw","Gryffindor",71.41801302677447
52206029,"Dumbledore","Slytherin","Gryffindor",45.79780033072212
52206029,"Snape","Slytherin","Slytherin",33.97928720592684
52206029,"Flitwick","Slytherin","Ravenclaw",54.399313077528966
52206029,"Lupin","Slytherin","Gryffindor",66.39630823868728
52206029,"Sprout","Slytherin","Hufflepuff",51.40393148159667
52206029,"Trelawney","Slytherin","Ravenclaw",59.11866577328993
52206029,"McGonagall","Slytherin","Gryffindor",60.57345443895592
55452079,"Dumbledore","Gryffindor","Gryffindor",45.62418744576711
55452079,"Snape","Gryffindor","Slytherin",38.803320732897156
55452079,"Flitwick","Gryffindor","Ravenclaw",44.563436368237845
55452079,"Lupin","Gryffindor","Gryffindor",54.08766282524239
55452079,"Sprout","Gryffindor","Hufflepuff",40.762178876731554
55452079,"Trelawney","Gryffindor","Ravenclaw",49.18760449573375
55452079,"McGonagall","Gryffindor","Gryffindor",56.98936364772794
56364309,"Dumbledore","Hufflepuff","Gryffindor",25.588339797804203
56364309,"Snape","Hufflepuff","Slytherin",23.241069620715564
56364309,"Flitwick","Hufflepuff","Ravenclaw",27.912907046643028
56364309,"Lupin","Hufflepuff","Gryffindor",42.34524808074652
56364309,"Sprout","Hufflepuff","Hufflepuff",22.456125655451757
56364309,"Trelawney","Hufflepuff","Ravenclaw",29.510538155799424
56364309,"McGonagall","Hufflepuff","Gryffindor",30.706655980995883
56254009,"Dumbledore","Slytherin","Gryffindor",69.00494505123363
56254009,"Snape","Slytherin","Slytherin",55.8286106231285
56254009,"Flitwick","Slytherin","Ravenclaw",68.40826850966052
56254009,"Lupin","Slytherin","Gryffindor",86.17386191909901
56254009,"Sprout","Slytherin","Hufflepuff",55.33807427332703
56254009,"Trelawney","Slytherin","Ravenclaw",78.23147726397939
56254009,"McGonagall","Slytherin","Gryffindor",73.6831954262874
52659311,"Dumbledore","Ravenclaw","Gryffindor",62.92575204785953
52659311,"Snape","Ravenclaw","Slytherin",49.767465281772566
52659311,"Flitwick","Ravenclaw","Ravenclaw",63.34823288041943
52659311,"Lupin","Ravenclaw","Gryffindor",70.02436233228894
52659311,"Sprout","Ravenclaw","Hufflepuff",63.725004765086524
52659311,"Trelawney","Ravenclaw","Ravenclaw",68.33604139085976
52659311,"McGonagall","Ravenclaw","Gryffindor",69.23355859338892
56441950,"Dumbledore","Ravenclaw","Gryffindor",32.706448612590485
56441950,"Snape","Ravenclaw","Slytherin",42.68231767466151
56441950,"Flitwick","Ravenclaw","Ravenclaw",51.919442503899774
56441950,"Lupin","Ravenclaw","Gryffindor",72.39207347820903
56441950,"Sprout","Ravenclaw","Hufflepuff",42.94176937337549
56441950,"Trelawney","Ravenclaw","Ravenclaw",50.91989353513525
56441950,"McGonagall","Ravenclaw","Gryffindor",68.24403795237563
50808512,"Dumbledore","Gryffindor","Gryffindor",47.907917728627304
50808512,"Snape","Gryffindor","Slytherin",33.203231477901554
50808512,"Flitwick","Gryffindor","Ravenclaw",42.471799002486186
50808512,"Lupin","Gryffindor","Gryffindor",60.289938297342694
50808512,"Sprout","Gryffindor","Hufflepuff",30.1658913880446
50808512,"Trelawney","Gryffindor","Ravenclaw",53.15840528805855
50808512,"McGonagall","Gryffindor","Gryffindor",61.118721862004904
55954512,"Dumbledore","Ravenclaw","Gryffindor",69.9103383454381
55954512,"Snape","Ravenclaw","Slytherin",55.471293193671364
55954512,"Flitwick","Ravenclaw","Ravenclaw",77.52892058349529
55954512,"Lupin","Ravenclaw","Gryffindor",81.73428210391054
55954512,"Sprout","Ravenclaw","Hufflepuff",66.37624267591202
55954512,"Trelawney","Ravenclaw","Ravenclaw",75.12785486132526
55954512,"McGonagall","Ravenclaw","Gryffindor",83.36659379531318
58628833,"Dumbledore","Hufflepuff","Gryffindor",32.16912024856515
58628833,"Snape","Hufflepuff","Slytherin",22.756288627726278
58628833,"Flitwick","Hufflepuff","Ravenclaw",50.42050283858119
58628833,"Lupin","Hufflepuff","Gryffindor",52.429397600181105
58628833,"Sprout","Hufflepuff","Hufflepuff",37.920920789634486
58628833,"Trelawney","Hufflepuff","Ravenclaw",49.76707322658722
58628833,"McGonagall","Hufflepuff","Gryffindor",47.89816428742607
58613335,"Dumbledore","Gryffindor","Gryffindor",48.34414186094238
58613335,"Snape","Gryffindor","Slytherin",39.94390333199408
58613335,"Flitwick","Gryffindor","Ravenclaw",48.01890665246434
58613335,"Lupin","Gryffindor","Gryffindor",54.30736819327814
58613335,"Sprout","Gryffindor","Hufflepuff",43.9759336230497
58613335,"Trelawney","Gryffindor","Ravenclaw",58.98362510867818
58613335,"McGonagall","Gryffindor","Gryffindor",52.25983298411541
55259117,"Dumbledore","Hufflepuff","Gryffindor",39.609976883921235
55259117,"Snape","Hufflepuff","Slytherin",14.35290478627303
55259117,"Flitwick","Hufflepuff","Ravenclaw",40.784316384553485
55259117,"Lupin","Hufflepuff","Gryffindor",49.35082137057771
55259117,"Sprout","Hufflepuff","Hufflepuff",29.753985931551476
55259117,"Trelawney","Hufflepuff","Ravenclaw",35.53772682486575
55259117,"McGonagall","Hufflepuff","Gryffindor",40.27004856570608
52240226,"Dumbledore","Ravenclaw","Gryffindor",61.36790103999803
52240226,"Snape","Ravenclaw","Slytherin",55.90528356884173
52240226,"Flitwick","Ravenclaw","Ravenclaw",68.27608174309697
52240226,"Lupin","Ravenclaw","Gryffindor",77.59740364320814
52240226,"Sprout","Ravenclaw","Hufflepuff",47.464588983968966
52240226,"Trelawney","Ravenclaw","Ravenclaw",68.63926655674399
52240226,"McGonagall","Ravenclaw","Gryffindor",71.31577417411991
53156732,"Dumbledore","Hufflepuff","Gryffindor",44.05763997300311
53156732,"Snape","Hufflepuff","Slytherin",21.384556133182734
53156732,"Flitwick","Hufflepuff","Ravenclaw",50.20288094188931
53156732,"Lupin","Hufflepuff","Gryffindor",46.635290031913804
53156732,"Sprout","Hufflepuff","Hufflepuff",33.45215081931512
53156732,"Trelawney","Hufflepuff","Ravenclaw",37.305815191080754
53156732,"McGonagall","Hufflepuff","Gryffindor",55.56148286727453
58362846,"Dumbledore","Hufflepuff","Gryffindor",49.926145736379794
58362846,"Snape","Hufflepuff","Slytherin",40.65057771574507
58362846,"Flitwick","Hufflepuff","Ravenclaw",61.5622347108829
58362846,"Lupin","Hufflepuff","Gryffindor",67.18457611994812
58362846,"Sprout","Hufflepuff","Hufflepuff",42.697097066765366
58362846,"Trelawney","Hufflepuff","Ravenclaw",59.947953681522336
58362846,"McGonagall","Hufflepuff","Gryffindor",56.23256865791716
50880720,"Dumbledore","Ravenclaw","Gryffindor",62.6275260516906
50880720,"Snape","Ravenclaw","Slytherin",61.345969716798635
50880720,"Flitwick","Ravenclaw","Ravenclaw",67.13452314143413
50880720,"Lupin","Ravenclaw","Gryffindor",88.51561742285129
50880720,"Sprout","Ravenclaw","Hufflepuff",63.60192599613643
50880720,"Trelawney","Ravenclaw","Ravenclaw",82.17346141238332
50880720,"McGonagall","Ravenclaw","Gryffindor",78.23197229866051
57004417,"Dumbledore","Hufflepuff","Gryffindor",49.16624660330559
57004417,"Snape","Hufflepuff","Slytherin",38.57143034032609
57004417,"Flitwick","Hufflepuff","Ravenclaw",55.4402222319143
57004417,"Lupin","Hufflepuff","Gryffindor",74.59430904484702
57004417,"Sprout","Hufflepuff","Hufflepuff",52.45497067503338
57004417,"Trelawney","Hufflepuff","Ravenclaw",61.54588646522059
57004417,"McGonagall","Hufflepuff","Gryffindor",58.48562984814089
55814213,"Dumbledore","Ravenclaw","Gryffindor",70.1900515919862
55814213,"Snape","Ravenclaw","Slytherin",62.21502876593934
55814213,"Flitwick","Ravenclaw","Ravenclaw",73.20139686560164
55814213,"Lupin","Ravenclaw","Gryffindor",79.8011691141227
55814213,"Sprout","Ravenclaw","Hufflepuff",63.79293249542124
55814213,"Trelawney","Ravenclaw","Ravenclaw",75.23793311469012
55814213,"McGonagall","Ravenclaw","Gryffindor",75.83248626766955
59474301,"Dumbledore","Slytherin","Gryffindor",71.15849561361512
59474301,"Snape","Slytherin","Slytherin",60.13588628474151
59474301,"Flitwick","Slytherin","Ravenclaw",67.05275890680869
59474301,"Lupin","Slytherin","Gryffindor",76.83997890925798
59474301,"Sprout","Slytherin","Hufflepuff",58.33761092138357
59474301,"Trelawney","Slytherin","Ravenclaw",68.6594185215158
59474301,"McGonagall","Slytherin","Gryffindor",66.54727625543782
57908160,"Dumbledore","Slytherin","Gryffindor",40.12920937886952
57908160,"Snape","Slytherin","Slytherin",45.745972066416
57908160,"Flitwick","Slytherin","Ravenclaw",58.588958856930816
57908160,"Lupin","Slytherin","Gryffindor",69.5875584591997
57908160,"Sprout","Slytherin","Hufflepuff",37.68178981617364
57908160,"Trelawney","Slytherin","Ravenclaw",56.22085135175247
57908160,"McGonagall","Slytherin","Gryffindor",53.39208906785501
55411180,"Dumbledore","Ravenclaw","Gryffindor",48.489959409597574
55411180,"Snape","Ravenclaw","Slytherin",45.92067228923048
55411180,"Flitwick","Ravenclaw","Ravenclaw",58.18937852579423
55411180,"Lupin","Ravenclaw","Gryffindor",66.33178931966474
55411180,"Sprout","Ravenclaw","Hufflepuff",57.08402901250897
55411180,"Trelawney","Ravenclaw","Ravenclaw",63.6851854841532
55411180,"McGonagall","Ravenclaw","Gryffindor",72.76998609257105
59158597,"Dumbledore","Slytherin","Gryffindor",45.639336990841954
59158597,"Snape","Slytherin","Slytherin",38.42572593642173
59158597,"Flitwick","Slytherin","Ravenclaw",40.08426925638854
59158597,"Lupin","Slytherin","Gryffindor",58.5196512428017
59158597,"Sprout","Slytherin","Hufflepuff",44.08385975328878
59158597,"Trelawney","Slytherin","Ravenclaw",51.92680650776444
59158597,"McGonagall","Slytherin","Gryffindor",55.043458069073935
52068698,"Dumbledore","Ravenclaw","Gryffindor",73.20112049240511
52068698,"Snape","Ravenclaw","Slytherin",58.293189109577604
52068698,"Flitwick","Ravenclaw","Ravenclaw",77.37794574265256
52068698,"Lupin","Ravenclaw","Gryffindor",76.37768899405685
52068698,"Sprout","Ravenclaw","Hufflepuff",58.302822434627686
52068698,"Trelawney","Ravenclaw","Ravenclaw",81.70227782978839
52068698,"McGonagall","Ravenclaw","Gryffindor",69.3824026926136
51662200,"Dumbledore","Gryffindor","Gryffindor",51.25344959281997
51662200,"Snape","Gryffindor","Slytherin",32.92509172784732
51662200,"Flitwick","Gryffindor","Ravenclaw",54.09679561194321
51662200,"Lupin","Gryffindor","Gryffindor",53.74640081839891
51662200,"Sprout","Gryffindor","Hufflepuff",41.67998181147557
51662200,"Trelawney","Gryffindor","Ravenclaw",52.55758866167653
51662200,"McGonagall","Gryffindor","Gryffindor",64.22248432355383
57772842,"Dumbledore","Gryffindor","Gryffindor",54.83980768146365
